num,score
1,0.709105442176870748
2,0.688877551020408163
3,0.676210884353741497
4,0.667389455782312925
5,0.662736394557823129
6,0.657760204081632653
7,0.653107142857142857
8,0.651814625850340136
9,0.649649659863945578
10,0.647549319727891156
11,0.645804421768707483
12,0.642540816326530612
13,0.641539115646258503
14,0.640440476190476191
15,0.639858843537414966
16,0.637532312925170068
17,0.636530612244897959
18,0.636045918367346939
19,0.634559523809523810
20,0.634074829931972789
21,0.633331632653061225
22,0.632685374149659864
23,0.631748299319727891
24,0.630972789115646259
25,0.630358843537414966
26,0.629357142857142857
27,0.628646258503401361
28,0.628420068027210884
29,0.628226190476190476
30,0.628064625850340136
